nameWithOwner,stargazerCount,releases,pushedAt,primaryLanguage,closedIssues,totalIssues
tailwindlabs/tailwindcss,97291,307,2026-08-14T19:43:34Z,TypeScript,4877,4903
florinpop17/app-ideas,96958,0,2025-10-11T14:51:21Z,,53,201
microsoft/Web-Dev-For-Beginners,96407,0,2026-08-05T10:13:10Z,JavaScript,392,459
hacksider/Deep-Live-Cam,96024,13,2026-08-13T22:44:22Z,Python,1156,1178
oven-sh/bun,95513,215,2026-08-20T23:58:22Z,Rust,14340,17598
puppeteer/puppeteer,95474,701,2026-08-20T14:27:22Z,TypeScript,7154,7401
microsoft/playwright,94831,165,2026-08-20T22:57:55Z,TypeScript,17692,17831
ryanmcdermott/clean-code-javascript,94759,0,2024-07-29T07:24:37Z,JavaScript,166,247
nvm-sh/nvm,94664,74,2026-08-18T06:42:47Z,Shell,2111,2448
iluwatar/java-design-patterns,94596,0,2026-08-17T22:42:48Z,Java,865,986
earendil-works/pi,94400,255,2026-08-20T21:09:43Z,TypeScript,5145,5231
karpathy/autoresearch,94280,0,2026-03-26T00:07:37Z,Python,59,113
punkpeye/awesome-mcp-servers,92621,0,2026-08-17T21:28:42Z,,551,556
deepseek-ai/DeepSeek-R1,92032,1,2025-06-27T08:35:54Z,,716,729
3b1b/manim,91776,13,2026-08-18T21:03:49Z,Python,775,1237
thedotmack/claude-mem,91370,308,2026-08-20T16:23:20Z,JavaScript,1910,1937
ruvnet/RuView,91096,287,2026-08-20T18:14:51Z,Rust,435,472
storybookjs/storybook,90882,1000,2026-08-20T20:40:22Z,TypeScript,12961,14539
opencv/opencv,90525,69,2026-08-20T10:59:11Z,C++,9098,11639
louislam/uptime-kuma,90412,131,2026-08-20T00:33:05Z,JavaScript,4224,4934
PanJiaChen/vue-element-admin,90207,49,2024-10-24T11:25:46Z,Vue,2357,3613
home-assistant/core,90010,1000,2026-08-20T21:29:29Z,Python,70468,73350
bitcoin/bitcoin,89954,68,2026-08-20T21:13:41Z,C++,8842,9177
Stirling-Tools/Stirling-PDF,89942,186,2026-08-20T22:25:03Z,Java,1498,1862
sherlock-project/sherlock,89892,2,2026-08-20T05:35:33Z,Python,1078,1176
mermaid-js/mermaid,89863,206,2026-08-20T16:53:46Z,TypeScript,2341,3784
nexu-io/open-design,89749,29,2026-08-20T18:38:03Z,TypeScript,1354,1798
modelcontextprotocol/servers,89721,27,2026-08-20T01:12:36Z,TypeScript,934,1179
microsoft/ML-For-Beginners,89628,0,2026-08-20T01:11:33Z,Jupyter Notebook,163,166
vllm-project/vllm,89564,103,2026-08-20T23:20:28Z,Python,15277,17454
gohugoio/hugo,89468,381,2026-08-20T19:56:40Z,Go,8000,8209
gin-gonic/gin,89088,29,2026-08-15T05:44:19Z,Go,1797,2401
zed-industries/zed,88960,1000,2026-08-20T22:13:04Z,Rust,20048,22559
infiniflow/ragflow,88930,53,2026-08-20T14:42:56Z,Go,6350,7641
astral-sh/uv,88921,303,2026-08-20T23:24:51Z,Rust,6873,9233
localsend/localsend,88822,26,2026-08-19T01:45:43Z,Dart,800,1790
addyosmani/agent-skills,88816,9,2026-08-14T18:51:33Z,JavaScript,82,138
ChatGPTNextWeb/NextChat,88632,77,2026-08-11T02:07:25Z,TypeScript,2906,3611
MunGell/awesome-for-beginners,88562,0,2026-07-25T07:00:20Z,,194,214
django/django,88509,0,2026-08-19T18:28:47Z,Python,0,0
PaddlePaddle/PaddleOCR,88006,33,2026-07-22T11:59:34Z,Python,10561,10721
sveltejs/svelte,87981,636,2026-08-20T21:56:23Z,JavaScript,8223,9177
syncthing/syncthing,87827,479,2026-08-20T09:09:35Z,Go,5604,5962
ByteByteGoHq/system-design-101,87363,0,2025-04-04T17:30:30Z,,20,64
odysseus-dev/odysseus,85816,0,2026-08-20T17:39:01Z,Python,1109,2087
OpenCut-app/OpenCut,85326,3,2026-08-10T16:38:36Z,TypeScript,98,366
laravel/laravel,84830,227,2026-08-18T13:45:25Z,Blade,0,0
OpenHands/OpenHands,84622,133,2026-08-20T23:30:10Z,TypeScript,4253,4553
macrozheng/mall,84586,3,2026-05-14T08:32:05Z,Java,494,506
bregman-arie/devops-exercises,84182,0,2025-12-27T14:22:30Z,Python,71,108
DopplerHQ/awesome-interview-questions,84133,0,2024-07-29T14:21:23Z,,34,61
realworld-apps/realworld,84115,0,2026-08-13T21:19:04Z,TypeScript,523,549
koala73/worldmonitor,83488,43,2026-08-20T21:40:59Z,TypeScript,1397,1646
Developer-Y/cs-video-courses,83136,0,2026-07-07T17:42:10Z,,0,0
animate-css/animate.css,82741,22,2024-07-29T19:34:21Z,CSS,843,886
junegunn/fzf,82600,84,2026-08-20T15:15:46Z,Go,2939,3205
fighting41love/funNLP,82569,0,2024-05-10T07:38:24Z,Python,48,92
vitejs/vite,82429,714,2026-08-20T07:06:40Z,TypeScript,8299,8797
tonsky/FiraCode,81938,29,2026-07-28T17:02:16Z,Clojure,965,1387
mlabonne/llm-course,81882,0,2026-02-05T13:09:26Z,,33,99
lobehub/lobehub,81861,1000,2026-08-20T22:27:38Z,TypeScript,6102,6400
jesseduffield/lazygit,81507,186,2026-08-20T19:58:53Z,Go,1846,2701
spring-projects/spring-boot,81327,354,2026-08-20T22:32:32Z,Java,42467,42945
bytedance/deer-flow,80422,1,2026-08-20T00:57:10Z,Python,1352,1875
TapXWorld/ChinaTextbook,80406,0,2025-10-18T13:39:24Z,Roff,80,191
netdata/netdata,80244,138,2026-08-20T22:18:50Z,Go,8118,8308
swisskyrepo/PayloadsAllTheThings,80211,5,2026-08-09T13:38:47Z,Python,0,0
hoppscotch/hoppscotch,80063,107,2026-08-20T16:38:46Z,TypeScript,1938,2505
Egonex-AI/Understand-Anything,79933,8,2026-08-11T14:13:37Z,TypeScript,135,243
d2l-ai/d2l-zh,79829,16,2024-07-30T09:32:19Z,Python,0,0
anuraghazra/github-readme-stats,79828,0,2026-07-31T00:50:25Z,JavaScript,1228,1396
doocs/advanced-java,79074,1,2026-06-25T02:21:18Z,Java,149,149
Z4nzu/hackingtool,79046,0,2026-08-02T16:54:01Z,Python,406,524
paperclipai/paperclip,79007,20,2026-08-20T23:59:40Z,TypeScript,792,2890
coder/code-server,78980,253,2026-08-20T21:45:26Z,TypeScript,3723,3866
ventoy/Ventoy,78849,115,2026-08-06T04:51:23Z,C,1935,2832
