nameWithOwner,stargazerCount,createdAt,pullRequests,releases,pushedAt,primaryLanguage,closedIssues,totalIssues
nushell/nushell,40304,2019-05-10T16:59:42Z,9115,124,2026-08-20T21:09:07Z,Rust,5906,7287
php/php-src,40302,2011-06-16T01:52:25Z,5550,60,2026-08-20T21:27:52Z,C,4409,5364
CorentinTh/it-tools,40297,2020-04-05T11:50:24Z,493,10,2026-08-16T11:35:00Z,Vue,225,712
ManimCommunity/manim,40284,2020-05-19T02:37:13Z,2130,34,2026-08-20T18:02:15Z,Python,1405,1806
bojieli/ai-agent-book,40263,2025-09-09T02:41:44Z,725,1,2026-08-20T10:40:37Z,Python,170,174
outline/outline,40262,2016-05-22T21:31:47Z,5258,166,2026-08-20T12:45:53Z,TypeScript,4198,4230
phaserjs/phaser,40176,2013-04-12T12:27:51Z,1746,178,2026-07-09T14:33:40Z,JavaScript,4543,4651
langchain-ai/langgraph,40121,2023-08-09T18:33:12Z,3912,560,2026-08-20T07:50:25Z,Python,1053,1514
microsoft/BitNet,40107,2024-08-05T09:07:38Z,34,0,2026-07-27T05:52:06Z,C++,103,306
photoprism/photoprism,40094,2018-01-27T12:00:15Z,959,83,2026-08-20T16:53:06Z,Go,2207,2642
gofiber/fiber,40066,2020-01-16T03:59:20Z,2422,142,2026-08-20T13:04:32Z,Go,1701,1738
google-research/bert,40048,2018-10-25T22:57:34Z,32,0,2024-07-23T23:39:41Z,Python,355,1145
evanw/esbuild,40008,2016-06-14T16:08:50Z,263,315,2026-08-09T17:20:12Z,Go,3376,3920
schollz/croc,39984,2017-10-17T15:20:18Z,380,211,2026-08-20T19:41:17Z,Go,620,623
Kong/insomnia,39957,2016-04-23T03:54:26Z,4232,562,2026-08-20T20:41:29Z,TypeScript,3297,4036
go-gorm/gorm,39913,2013-10-25T08:31:38Z,790,12,2026-06-25T07:21:11Z,Go,5691,6145
koalaman/shellcheck,39904,2012-11-17T03:15:11Z,346,30,2026-08-04T08:32:46Z,Haskell,1901,3016
siddharthvaddem/openscreen,39874,2025-10-10T05:36:55Z,195,13,2026-06-17T02:34:20Z,TypeScript,337,366
videojs/video.js,39858,2010-05-14T18:45:10Z,1829,336,2026-08-03T10:03:33Z,JavaScript,4816,5433
llvm/llvm-project,39837,2016-12-07T09:39:33Z,97417,159,2026-08-21T00:29:21Z,LLVM,68736,97959
2noise/ChatTTS,39774,2024-05-27T18:26:49Z,223,7,2026-04-10T16:33:48Z,Python,619,677
DeusData/codebase-memory-mcp,39703,2026-02-24T22:01:00Z,517,46,2026-08-21T00:15:24Z,C,448,831
vadimdemedes/ink,39701,2017-06-12T06:12:28Z,323,81,2026-08-12T00:11:46Z,TypeScript,416,432
novuhq/novu,39622,2021-08-26T15:22:44Z,8456,144,2026-08-20T18:59:36Z,TypeScript,1687,1742
mindsdb/mindshub,39618,2018-08-02T17:56:45Z,5923,339,2026-08-21T00:27:00Z,Makefile,4435,4436
qbittorrent/qBittorrent,39595,2012-02-04T09:37:46Z,4409,4,2026-08-17T06:10:49Z,C++,15094,17663
floodsung/Deep-Learning-Papers-Reading-Roadmap,39545,2016-10-14T11:49:48Z,28,0,2022-11-27T13:18:32Z,Python,5,58
google/styleguide,39515,2015-05-20T19:18:59Z,201,0,2026-06-03T15:51:23Z,HTML,250,369
halo-dev/halo,39514,2018-03-21T12:56:52Z,3229,269,2026-08-18T10:08:34Z,Java,4599,4710
lm-sys/FastChat,39514,2023-03-19T00:18:02Z,852,14,2026-05-01T00:25:53Z,Python,1077,1972
AstrBotDevs/AstrBot,39432,2022-12-08T13:27:46Z,1715,251,2026-08-19T17:06:17Z,Python,5425,6468
TeamNewPipe/NewPipe,39415,2015-09-03T23:39:26Z,1890,147,2026-08-20T21:39:57Z,Java,8996,10384
pola-rs/polars,39413,2020-05-13T19:45:33Z,13694,265,2026-08-20T15:37:45Z,Rust,10616,13138
QuivrHQ/quivr,39409,2023-05-12T23:53:30Z,1824,354,2025-07-09T12:55:23Z,Python,1536,1546
google/leveldb,39346,2014-08-27T21:17:52Z,65,21,2026-03-11T04:06:29Z,C++,542,801
freeCodeCamp/devdocs,39324,2013-10-24T18:16:07Z,1018,0,2026-08-16T00:41:20Z,Ruby,1102,1283
suno-ai/bark,39244,2023-04-07T19:34:48Z,19,0,2024-08-19T07:45:36Z,Jupyter Notebook,240,478
ShareX/ShareX,39223,2013-10-08T23:32:10Z,0,90,2026-08-20T03:59:17Z,C#,6876,7529
drawdb-io/drawdb,39184,2023-07-16T17:09:20Z,439,0,2026-08-16T22:54:03Z,JavaScript,236,368
HKUDS/LightRAG,39026,2024-10-02T11:57:54Z,1568,82,2026-08-20T18:37:17Z,Python,1337,1530
wshobson/agents,38964,2025-07-24T23:28:14Z,169,0,2026-08-18T15:56:45Z,Python,113,116
google/googletest,38941,2015-07-28T15:07:53Z,834,12,2026-08-19T19:37:00Z,C++,2073,2399
datalab-to/marker,38908,2023-10-30T20:14:08Z,233,72,2026-08-07T06:33:06Z,Python,324,693
deepseek-ai/awesome-deepseek-integration,38880,2024-01-11T02:43:17Z,288,0,2026-02-23T16:27:47Z,,163,201
aseprite/aseprite,38868,2014-08-19T23:44:50Z,551,130,2026-08-20T21:37:06Z,C++,2731,4655
YunaiV/ruoyi-vue-pro,38855,2021-01-24T03:18:25Z,78,66,2026-08-14T16:49:53Z,Java,793,802
mattermost/mattermost,38853,2015-06-15T06:50:02Z,22335,1000,2026-08-21T00:11:28Z,TypeScript,8751,9339
RSSNext/Folo,38833,2024-04-08T03:23:35Z,1517,113,2026-08-17T23:35:22Z,TypeScript,2260,2638
rapid7/metasploit-framework,38833,2011-08-30T06:13:20Z,12056,0,2026-08-20T22:51:47Z,Ruby,6089,6586
preactjs/preact,38824,2015-09-11T02:40:18Z,2085,251,2026-08-20T12:34:57Z,JavaScript,1922,1941
DioxusLabs/dioxus,38821,2021-01-15T01:57:26Z,2083,42,2026-08-20T02:37:22Z,Rust,1980,2611
